Time,Quote time,Quote,Title,Author,SFW,Star
00:00,media noche,"—A vos y de vos la pido —replicó don Quijote—, porque ni yo soy de mármol ni vos de bronce, ni ahora son las diez del día, sino media noche",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,
00:00,media noche,"—Yo me reportaré —respondió Sancho—; pero ¿con qué paciencia podré llevar que quiera vuestra merced que de sola una vez que vi la casa de nuestra ama, la haya de saber siempre y hallarla a media noche, no hallándola vuestra merced, que la debe de haber visto millares de veces?",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,
00:00,Media noche,"Media noche era por filo, poco más a menos, cuando don Quijote y Sancho dejaron el monte y entraron en el Toboso.",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,
00:00,doce,"—¿Y se aburre mucho usted?
—Regular. He organizado mi vida como la de un industrial. Todos los días me acuesto a las doce y me levanto a las nueve de la mañana.",Los siete locos,Roberto Arlt,TRUE,*
00:00,en el corazón de la noche,"Ella, tallada en el corazón de la noche
por la inquietud de mis ojos alucinados:
ella, grabada en los maderos del bosque
por los cuchillos de mis manos",El hondero entusiasta,Pablo Neruda,TRUE,*
02:00,dos horas pasadas de la noche,"»Apenas serían dos horas pasadas de la noche, cuando ya estábamos todos en la barca, en la cual se le quitó al padre de Zoraida la atadura de las manos y el paño de la boca",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,*
03:00,tres de la mañana,"Entretanto, serían las tres de la mañana, yo estaba sentado en una mesa del bar Tortoni, tomando café y fumando",Respiración artificial,Ricardo Piglia,TRUE,
03:04,pasadas tres horas de la noche,"quiso, digo, que estando ya engolfados y siendo ya casi pasadas tres horas de la noche, yendo con la vela tendida de alto baja",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,
04:00,cuatro de la mañana,"Yo tendré cuidado de socorreros si os viéredes en trabajo, y en todo haréis como se espera de vuestro entendimiento. Deste lugar, a 16 de agosto, a las cuatro de la mañana.

Vuestro amigo,
El Duque.",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,
04:00,cuatro de la mañana,Belano dijo son las cuatro de la mañana. En ese momento supe con resignación que no iba a poder dormir.,Los detectives salvajes,Roberto Bolaño,TRUE,
05:00,cinco de la mañana,El padre del senador había dejado una nota que decía: «Son las cinco de la mañana. No me he movido en todo el día de mi casa. Todas las noticias que tengo del muy mandria ahijado de los señores que le sirven de padrinos en este lance»,Respiración artificial,Ricardo Piglia,TRUE,
05:00,cinco de la mañana,"Eran las cinco de la mañana. Entró a la estación del ferrocarril, miró en redor, y como tenía sueño se refugió en un rincón de la sala de espera.",Los siete locos,Roberto Arlt,TRUE,
05:30,cinco y media,—Con lo cual —dijo Perico— le ocurre que una enana de la página veinte tiene dos metros cinco en la página cien. Me he percatado más de una vez. Hay escenas que empiezan a las seis de la tarde y acaban a las cinco y media. Un asco.,Rayuela,Julio Cortázar,TRUE,
05:59,La del alba,"La del alba sería cuando don Quijote salió de la venta, tan contento, tan gallardo, tan alborozado por verse ya armado caballero, que el gozo le reventaba por las cinchas del caballo.",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,*
06:00,seis de la mañana,"Tenemos tiempo, le digo, recién a las seis de la mañana sale el tren para Buenos Aires.",Respiración artificial,Ricardo Piglia,TRUE,
06:00,seis de la mañana,"Sólo dice: Está bien, señor, y nos repite que su turno termina a las seis de la mañana. Parecía no entender bien, le digo a Tardewski.",Respiración artificial,Ricardo Piglia,TRUE,
06:00,seis de la mañana,"A las seis de la mañana salieron desnudos del dormitorio, vaciaron la alberca y la llenaron de champaña.",100 años de soledad,Gabriel García Márquez,FALSE,
07:00,siete de la mañana,"A las siete de la mañana, cuando el coronel Gerineldo Márquez fue a buscarlo en compañía de un grupo de oficiales rebeldes, lo encontró más taciturno que nunca, más pensativo y solitario.",100 años de soledad,Gabriel García Márquez,TRUE,
07:45,siete y cuarenta y cinco,Estaba haciendo mis ejercicios y preguntándome en dónde se habría metido porque ya eran las siete y cuarenta y cinco y aún no salía.,Los detectives salvajes,Roberto Bolaño,TRUE,*
07:59,aún no eran las ocho,"Una mañana, yo acababa de llegar a la casa y aún no eran las ocho, me encontré a don Octavio levantado, esperándome en la cocina.",Los detectives salvajes,Roberto Bolaño,TRUE,
09:00,nueve de la mañana,"Hasta aquel jueves indeseable, en que el médico menos notorio de los muchos que lo habían visto lo citó a las nueve de la mañana en el pabellón de neurología.",Doce cuentos peregrinos,Gabriel García Márquez,TRUE,
09:00,nueve de la mañana,"—¿Y se aburre mucho usted?
—Regular. He organizado mi vida como la de un industrial. Todos los días me acuesto a las doce y me levanto a las nueve de la mañana.",Los siete locos,Roberto Arlt,TRUE,
10:00,10 de la mañana,"Bien, llegaré a Concordia el 27, a las 10 de la mañana; viajo en tren. Tengo los números, las direcciones, etc., pero no creo que me hagan falta.",Respiración artificial,Ricardo Piglia,TRUE,
10:00,diez de la mañana,Es uno de esos cines que funcionan las 24 horas: eran las diez de la mañana y me metí ahí para olvidarme un poco del frío.,Respiración artificial,Ricardo Piglia,TRUE,
10:00,diez de la mañana,"Se lo ha visto a las diez de la mañana bajar del tren que llega de la capital. Se detuvo en las escalinatas de la estación, un poco desorientado; preguntó de qué lado quedaba el río.",Respiración artificial,Ricardo Piglia,TRUE,
10:20,diez y veinte de la mañana,"Un lunes, a las diez y veinte de la mañana, Amaranta estaba vistiendo a Aureliano José, cuando percibió un tropel remoto y un toque de corneta",100 años de soledad,Gabriel García Márquez,TRUE,
11:58,Cerca de mediodía,"»Cerca de mediodía podría ser cuando nos echaron en la barca, dándonos dos barriles de agua y algún bizcocho",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,
12:00,mediodía,"—¿Cómo fuera de la ciudad? —respondió—. ¿Por ventura tiene vuesa merced los ojos en el colodrillo, que no ve que son éstas, las que aquí vienen, resplandecientes como el mismo sol a mediodía?",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,
12:00,mediodía,"Apeaos, y usad de vuestro compás de pies, de vuestros círculos y vuestros ángulos y ciencia; que yo espero de haceros ver estrellas a mediodía con mi destreza moderna y zafia",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,
12:00,medio día,"Díjome que acaso, pasando por una calle de la ciudad a la hora de medio día, una señora muy hermosa le llamó desde una ventana",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,
13:59,Aproximadamente a las dos de la tarde,"Aproximadamente a las dos de la tarde almorzamos. Don Miguel apoyando el plato en un cajón de kerosene, yo en el ángulo de una mesa ocupada de libros, la mujer gorda en la cocina y don Gaetano en el mostrador.",El juguete rabioso,Roberto Arlt,TRUE,
14:00,dos de la tarde,"Un día jueves a las dos de la tarde, mi hermana me avisó que un individuo estaba a la puerta esperándome.",El juguete rabioso,Roberto Arlt,TRUE,
14:00,dos de la tarde,"—¿Cuándo le vio a usted?
—Aproximadamente hoy a las dos de la tarde.",El juguete rabioso,Roberto Arlt,TRUE,
14:00,dos de la tarde,"y en todos aparecía Remedios transfigurada: Remedios en el aire soporífero de las dos de la tarde, Remedios en la callada respiración de las rosas",100 años de soledad,Gabriel García Márquez,TRUE,
14:30,dos y media de la tarde," Era penoso despertar a Traveler a las dos y media de la tarde, pero Oliveira tenía ya amoratados los dedos con que sujetaba los clavos, la sangre machucada empezaba a extravasarse, dando a los dedos un aire de chipolatas mal hechas que era realmente repugnante.",Rayuela,Julio Cortázar,TRUE,
15:00,tres de la tarde,recordaba «que el domingo pasado una negra vino a las tres de la tarde y salió a las seis junto con Antonio».,El juguete rabioso,Roberto Arlt,TRUE,
16:00,cuatro de la tarde,"El día martes, a las cuatro de la tarde, Erdosain recibió la visita del Astrólogo, quien le avisó que el miércoles de esa semana, a las nueve de la mañana se reunirían los jefes en Témperley.",Los siete locos,Roberto Arlt,TRUE,
16:30,cuatro y media de la tarde,"Eran las cuatro y media de la tarde, cuando Amaranta Úrsula salió del baño. Aureliano la vio pasar frente a su cuarto, con una bata de pliegues tenues y una toalla enrollada en la cabeza como un turbante.",100 años de soledad,Gabriel García Márquez,TRUE,
17:00,cinco de la tarde,"A las cinco de la tarde, cuando llegaron a la estación final de la ciénaga, descendió del tren porque Fernanda lo hizo.",100 años de soledad,Gabriel García Márquez,TRUE,
17:00,cinco en punto de la tarde,"A las cinco de la tarde.
Eran las cinco en punto de la tarde.
Un niño trajo la blanca sábana
a las cinco de la tarde.",Llanto por Ignacio Sánchez Mejías,Federico García Lorca,TRUE,
17:00,cinco de la tarde,"Lo mismo se le podía haber ocurrido a mediodía en el almacén de Roque, o en el subte a las cinco de la tarde. O mucho antes, en Europa, alguna noche de vagancia por las zonas francas, los baldíos donde una lata vieja podía servir para tajear una garganta por poco que las dos pusieran buena voluntad.",Rayuela,Julio Cortázar,TRUE,
18:00,seis,"Hago una hora de ejercicio, me baño, leo los diarios, almuerzo, duermo una siesta, a las seis tomo el vermut y voy a lo del peluquero, a las ocho ceno, después salgo al café",Los siete locos,Roberto Arlt,TRUE,*
18:00,seis de la tarde,—Con lo cual —dijo Perico— le ocurre que una enana de la página veinte tiene dos metros cinco en la página cien. Me he percatado más de una vez. Hay escenas que empiezan a las seis de la tarde y acaban a las cinco y media. Un asco.,Rayuela,Julio Cortázar,TRUE,
19:00,siete de la noche,"—El jueves es mi día libre —dijo Homero.
—Perfecto —dijo el presidente—. El jueves a las siete de la noche estoy en su casa. Será un placer.",Doce cuentos peregrinos,Gabriel García Márquez,TRUE,
19:00,siete de la noche,"A las siete de la noche, todavía vestida de reina, lo recibió en la cama.",100 años de soledad,Gabriel García Márquez,FALSE,
19:00,siete de la noche,"Aureliano Triste salía de la casa de su madre, a las siete de la noche, cuando un disparo de fusil surgido de la oscuridad le perforó la frente.",100 años de soledad,Gabriel García Márquez,FALSE,
19:00,siete de la noche,"Lo único que intrigó a Úrsula después de casi dos meses de castigo, fue que Meme no se bañara en la mañana, como lo hacían todos, sino a las siete de la noche.",100 años de soledad,Gabriel García Márquez,TRUE,
19:30,siete y media,"Ya eran las siete y media, y la Cuca sacaba una polverita y se arreglaba la cara con un gesto de directora de clínica, algo entre Madame Curie y Edwidge Feuillère.",Rayuela,Julio Cortázar,TRUE,
20:00,ocho de la noche,El tren se detuvo en Ramos Mejía. El reloj de la estación marcaba las ocho de la noche. Erdosain bajó.,Los siete locos,Roberto Arlt,TRUE,
20:00,ocho de la noche,"A las ocho de la noche llegó a su casa.
—El comedor estaba iluminado… Pero expliquémonos —dijo Erdosain—, mi esposa y yo habíamos sufrido tanta miseria, que el llamado comedor consistía en un cuarto vacío de muebles",Los siete locos,Roberto Arlt,TRUE,
20:00,ocho,"Hago una hora de ejercicio, me baño, leo los diarios, almuerzo, duermo una siesta, a las seis tomo el vermut y voy a lo del peluquero, a las ocho ceno, después salgo al café",Los siete locos,Roberto Arlt,TRUE,*
22:00,diez de la noche,"A las diez de la noche no había vuelto aún, y entonces me acosté; a eso de la una de la madrugada me despertaron sus pasos en el cuarto",Los siete locos,Roberto Arlt,TRUE,
22:57,casi a las diez de la noche,"Vinieron algunas, cenóse espléndidamente y comenzóse el sarao casi a las diez de la noche.",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,
23:00,once horas de la noche,"Hecho esto, y llegadas las once horas de la noche, halló don Quijote una vihuela en su aposento",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,
23:00,11 de la noche,A las 11 de la noche abandonamos la caverna.,El juguete rabioso,Roberto Arlt,TRUE,
23:57,poco antes de la media noche,"Lazara lo clavó en su sitio con un silencio de muerte. Pero logró sobreponerse, poco antes de la media noche, y lo despidió con un beso formal.",Doce cuentos peregrinos,Gabriel García Márquez,TRUE,
23:58,poco antes de la media noche,"»Hízose así, y poco antes de la media noche sería cuando llegamos al pie de una disformísima y alta montaña, no tan junto al mar que no concediese un poco de espacio para poder desembarcar cómodamente",Don Quijote de la Mancha,Miguel de Cervantes,TRUE,