File,Row,Double open,Double close,Angular open,Angular close
en-US,112,1,0,0,0
en-US,271,2,1,0,0
en-US,392,0,2,0,0
en-US,572,1,0,0,0
en-US,669,6,7,0,0
en-US,719,1,2,0,0
en-US,1011,0,1,0,0
en-US,1125,2,1,0,0
en-US,1373,2,1,0,0
en-US,1516,4,5,0,0
en-US,1672,0,1,0,0
en-US,1840,8,7,0,0
en-US,1857,3,2,0,0
en-US,2065,0,1,0,0
en-US,2481,1,2,0,0
en-US,2602,0,1,0,0
en-US,2782,0,1,0,0
en-US,2783,2,1,0,0
en-US,3109,0,1,0,0
en-US,3436,2,4,0,0
pt-BR,4,2,1,0,0
pt-BR,10,1,0,0,0
pt-BR,112,1,0,0,0
pt-BR,271,2,1,0,0
pt-BR,281,2,1,0,0
pt-BR,462,2,1,0,0
pt-BR,534,1,0,0,0
pt-BR,537,2,1,0,0
pt-BR,572,1,0,0,0
pt-BR,605,1,0,0,0
pt-BR,618,1,2,0,0
pt-BR,665,3,2,0,0
pt-BR,719,1,0,0,0
pt-BR,913,1,0,0,0
pt-BR,995,1,0,0,0
pt-BR,1011,0,1,0,0
pt-BR,1023,8,5,0,0
pt-BR,1061,2,1,0,0
pt-BR,1062,3,2,0,0
pt-BR,1125,2,1,0,0
pt-BR,1153,1,0,0,0
pt-BR,1161,1,0,0,0
pt-BR,1196,2,1,0,0
pt-BR,1199,4,2,0,0
pt-BR,1206,1,0,0,0
pt-BR,1293,3,1,0,0
pt-BR,1477,1,0,0,0
pt-BR,1484,1,0,0,0
pt-BR,1575,1,0,0,0
pt-BR,1577,3,2,0,0
pt-BR,1629,1,0,0,0
pt-BR,1637,1,0,0,0
pt-BR,1672,0,1,0,0
pt-BR,1717,2,1,0,0
pt-BR,1780,1,0,0,0
pt-BR,1810,1,0,0,0
pt-BR,1818,2,1,0,0
pt-BR,1840,8,7,0,0
pt-BR,1857,3,2,0,0
pt-BR,1888,1,0,0,0
pt-BR,2008,1,0,0,0
pt-BR,2021,6,5,0,0
pt-BR,2044,2,1,0,0
pt-BR,2045,3,2,0,0
pt-BR,2065,0,1,0,0
pt-BR,2089,1,0,0,0
pt-BR,2092,1,0,0,0
pt-BR,2107,2,1,0,0
pt-BR,2142,1,0,0,0
pt-BR,2242,1,0,0,0
pt-BR,2281,1,0,0,0
pt-BR,2306,1,0,0,0
pt-BR,2325,2,1,0,0
pt-BR,2326,2,1,0,0
pt-BR,2329,2,1,0,0
pt-BR,2330,1,0,0,0
pt-BR,2360,3,2,0,0
pt-BR,2386,2,1,0,0
pt-BR,2440,1,0,0,0
pt-BR,2475,1,0,0,0
pt-BR,2477,1,0,0,0
pt-BR,2490,2,1,0,0
pt-BR,2507,1,0,0,0
pt-BR,2529,1,0,0,0
pt-BR,2563,2,1,0,0
pt-BR,2572,2,1,0,0
pt-BR,2602,0,1,0,0
pt-BR,2770,2,1,0,0
pt-BR,2783,2,1,0,0
pt-BR,2832,3,2,0,0
pt-BR,2847,1,0,0,0
pt-BR,2849,1,0,0,0
pt-BR,2850,1,0,0,0
pt-BR,2893,1,0,0,0
pt-BR,2939,2,1,0,0
pt-BR,2964,2,1,0,0
pt-BR,2973,8,5,0,0
pt-BR,2974,2,1,0,0
pt-BR,3084,1,0,0,0
pt-BR,3107,2,1,0,0
pt-BR,3109,0,1,0,0
pt-BR,3114,1,0,0,0
pt-BR,3130,1,0,0,0
pt-BR,3139,3,2,0,0
pt-BR,3245,2,1,0,0
pt-BR,3357,1,0,0,0
pt-BR,3418,1,0,0,0
pt-BR,3436,2,4,0,0
pt-BR,3438,1,0,0,0
pt-BR,3477,1,0,0,0
pt-BR,3478,2,1,0,0
pt-BR,3487,1,0,0,0
pt-BR,3494,1,0,0,0
es-ES,2,1,0,0,0
es-ES,4,2,1,0,0
es-ES,10,1,0,0,0
es-ES,11,2,1,0,0
es-ES,49,2,3,0,0
es-ES,112,1,0,0,0
es-ES,162,1,0,0,0
es-ES,195,3,4,0,0
es-ES,245,1,2,0,0
es-ES,271,2,1,0,0
es-ES,281,2,1,0,0
es-ES,445,1,0,0,0
es-ES,460,2,3,0,0
es-ES,534,1,0,0,0
es-ES,537,2,1,0,0
es-ES,572,1,0,0,0
es-ES,618,1,2,0,0
es-ES,665,3,2,0,0
es-ES,683,2,1,0,0
es-ES,791,4,5,0,0
es-ES,890,4,2,0,0
es-ES,995,1,0,0,0
es-ES,1011,0,1,0,0
es-ES,1023,8,5,0,0
es-ES,1072,2,3,0,0
es-ES,1125,2,1,0,0
es-ES,1161,1,0,0,0
es-ES,1196,2,3,0,0
es-ES,1199,4,2,0,0
es-ES,1293,3,1,0,0
es-ES,1300,3,2,0,0
es-ES,1484,1,0,0,0
es-ES,1507,0,1,0,0
es-ES,1516,4,5,0,0
es-ES,1575,1,0,0,0
es-ES,1669,2,1,0,0
es-ES,1717,3,1,0,0
es-ES,1810,1,0,0,0
es-ES,1818,2,1,0,0
es-ES,1840,8,7,0,0
es-ES,1843,4,3,0,0
es-ES,1857,3,2,0,0
es-ES,1864,2,1,0,0
es-ES,1941,2,3,0,0
es-ES,1947,2,3,0,0
es-ES,1983,1,0,0,0
es-ES,1985,4,3,0,0
es-ES,2065,0,1,0,0
es-ES,2088,3,2,0,0
es-ES,2089,1,0,0,0
es-ES,2107,2,1,0,0
es-ES,2237,2,1,0,0
es-ES,2242,1,0,0,0
es-ES,2255,4,3,0,0
es-ES,2286,1,0,0,0
es-ES,2306,1,0,0,0
es-ES,2325,2,1,0,0
es-ES,2326,2,1,0,0
es-ES,2386,2,1,0,0
es-ES,2440,1,0,0,0
es-ES,2481,1,2,0,0
es-ES,2521,4,3,0,0
es-ES,2529,1,0,0,0
es-ES,2558,2,1,0,0
es-ES,2563,2,3,0,0
es-ES,2602,0,1,0,0
es-ES,2738,3,2,0,0
es-ES,2770,2,1,0,0
es-ES,2783,2,1,0,0
es-ES,2806,3,2,0,0
es-ES,2814,1,0,0,0
es-ES,2822,2,1,0,0
es-ES,2845,2,1,0,0
es-ES,2847,1,0,0,0
es-ES,2893,1,0,0,0
es-ES,2964,2,1,0,0
es-ES,2973,8,5,0,0
es-ES,2974,2,1,0,0
es-ES,2998,3,2,0,0
es-ES,3084,1,0,0,0
es-ES,3107,2,3,0,0
es-ES,3109,0,1,0,0
es-ES,3115,1,2,0,0
es-ES,3130,1,0,0,0
es-ES,3139,3,2,0,0
es-ES,3194,1,2,0,0
es-ES,3245,2,1,0,0
es-ES,3357,1,0,0,0
es-ES,3436,2,4,0,0
es-ES,3441,2,1,0,0
es-ES,3478,3,1,0,0
es-ES,3528,1,2,0,0
fr-FR,4,0,0,2,1
fr-FR,10,0,0,1,0
fr-FR,45,0,0,4,3
fr-FR,56,0,0,1,0
fr-FR,105,0,0,3,4
fr-FR,112,0,0,1,0
fr-FR,113,0,0,2,1
fr-FR,193,0,0,3,2
fr-FR,266,0,0,1,0
fr-FR,268,0,0,1,0
fr-FR,269,0,0,1,0
fr-FR,271,0,0,2,0
fr-FR,281,0,0,2,1
fr-FR,282,0,1,4,3
fr-FR,342,0,0,2,1
fr-FR,371,0,0,1,0
fr-FR,418,0,0,2,1
fr-FR,462,0,0,2,1
fr-FR,507,0,0,1,0
fr-FR,537,0,0,2,1
fr-FR,562,0,0,1,0
fr-FR,572,0,0,1,0
fr-FR,600,0,0,2,3
fr-FR,618,0,0,1,0
fr-FR,664,0,0,1,0
fr-FR,683,0,0,2,1
fr-FR,744,0,0,2,1
fr-FR,789,0,0,1,0
fr-FR,900,0,0,4,5
fr-FR,913,0,0,1,0
fr-FR,945,0,0,2,1
fr-FR,1009,0,0,1,0
fr-FR,1011,0,0,0,1
fr-FR,1023,0,0,7,6
fr-FR,1058,0,0,2,1
fr-FR,1061,0,0,2,1
fr-FR,1062,0,0,3,2
fr-FR,1095,0,0,2,1
fr-FR,1111,0,0,0,1
fr-FR,1125,0,0,2,1
fr-FR,1137,0,0,1,0
fr-FR,1141,0,0,2,1
fr-FR,1147,0,0,2,1
fr-FR,1153,0,0,1,0
fr-FR,1161,0,0,1,0
fr-FR,1196,0,0,2,1
fr-FR,1206,0,0,1,0
fr-FR,1232,0,0,1,0
fr-FR,1241,0,0,1,0
fr-FR,1257,0,0,4,5
fr-FR,1283,0,0,1,0
fr-FR,1368,0,0,1,0
fr-FR,1373,0,0,1,2
fr-FR,1477,0,0,1,0
fr-FR,1484,0,0,1,0
fr-FR,1503,0,0,2,1
fr-FR,1516,0,0,4,5
fr-FR,1517,0,0,1,0
fr-FR,1545,0,0,1,0
fr-FR,1557,0,0,2,1
fr-FR,1577,0,0,2,1
fr-FR,1592,0,0,3,2
fr-FR,1635,0,0,1,0
fr-FR,1637,0,0,1,0
fr-FR,1664,0,0,3,2
fr-FR,1666,0,0,3,1
fr-FR,1671,0,0,1,0
fr-FR,1672,0,0,0,1
fr-FR,1690,0,0,2,1
fr-FR,1701,0,0,2,1
fr-FR,1705,0,0,2,1
fr-FR,1753,0,0,2,1
fr-FR,1763,0,0,1,0
fr-FR,1764,0,0,2,1
fr-FR,1803,0,0,3,2
fr-FR,1807,0,0,1,0
fr-FR,1810,0,0,1,0
fr-FR,1818,0,0,2,1
fr-FR,1827,0,0,1,2
fr-FR,1828,0,0,1,0
fr-FR,1832,0,0,2,1
fr-FR,1840,0,0,8,7
fr-FR,1842,0,0,3,2
fr-FR,1843,0,0,4,3
fr-FR,1845,0,0,1,0
fr-FR,1849,0,0,3,2
fr-FR,1857,0,0,3,2
fr-FR,1861,0,0,1,0
fr-FR,1870,0,0,2,1
fr-FR,1888,0,0,1,0
fr-FR,1905,0,0,5,4
fr-FR,1916,0,0,3,4
fr-FR,1928,0,0,3,2
fr-FR,1947,0,0,3,2
fr-FR,1973,0,0,1,2
fr-FR,1985,0,0,4,3
fr-FR,2008,0,0,1,0
fr-FR,2023,0,0,3,4
fr-FR,2044,0,0,2,1
fr-FR,2045,0,0,3,2
fr-FR,2088,0,0,3,2
fr-FR,2089,0,0,1,0
fr-FR,2092,0,0,1,0
fr-FR,2099,0,0,2,1
fr-FR,2107,0,0,2,1
fr-FR,2118,0,0,1,0
fr-FR,2142,0,0,1,0
fr-FR,2199,0,0,1,0
fr-FR,2205,0,0,1,0
fr-FR,2214,0,0,1,0
fr-FR,2233,0,0,5,4
fr-FR,2237,0,0,2,1
fr-FR,2242,0,0,2,1
fr-FR,2247,0,0,3,2
fr-FR,2273,0,0,1,0
fr-FR,2281,0,0,1,0
fr-FR,2286,0,0,1,0
fr-FR,2306,0,0,1,0
fr-FR,2325,0,0,2,1
fr-FR,2326,0,0,3,2
fr-FR,2329,0,0,2,1
fr-FR,2360,0,0,3,2
fr-FR,2370,0,0,1,0
fr-FR,2377,0,0,1,0
fr-FR,2382,0,0,1,0
fr-FR,2386,0,0,2,1
fr-FR,2388,0,0,2,1
fr-FR,2394,0,0,3,2
fr-FR,2401,0,0,2,1
fr-FR,2404,0,0,1,0
fr-FR,2440,0,0,1,0
fr-FR,2475,0,0,1,0
fr-FR,2477,0,0,1,0
fr-FR,2490,0,0,2,1
fr-FR,2499,0,0,3,4
fr-FR,2511,0,0,1,0
fr-FR,2521,0,0,4,3
fr-FR,2529,0,0,1,0
fr-FR,2557,0,0,3,1
fr-FR,2558,0,0,2,0
fr-FR,2563,0,0,2,1
fr-FR,2572,0,0,2,1
fr-FR,2589,0,0,2,1
fr-FR,2680,0,0,1,0
fr-FR,2694,0,0,4,3
fr-FR,2698,0,0,1,0
fr-FR,2699,0,0,3,4
fr-FR,2702,0,0,2,1
fr-FR,2705,0,0,2,1
fr-FR,2707,0,0,6,5
fr-FR,2763,0,0,1,0
fr-FR,2767,0,0,1,2
fr-FR,2770,0,0,2,1
fr-FR,2775,0,0,1,0
fr-FR,2783,0,0,1,0
fr-FR,2807,0,0,5,6
fr-FR,2819,0,0,3,2
fr-FR,2822,0,0,2,0
fr-FR,2832,0,0,3,2
fr-FR,2845,0,0,2,0
fr-FR,2847,0,0,1,0
fr-FR,2849,0,0,1,0
fr-FR,2850,0,0,1,0
fr-FR,2882,0,0,2,1
fr-FR,2893,0,0,1,0
fr-FR,2924,0,0,2,1
fr-FR,2939,0,0,2,1
fr-FR,2964,0,0,1,0
fr-FR,2973,0,0,7,6
fr-FR,3003,0,0,2,1
fr-FR,3010,0,0,3,4
fr-FR,3029,0,0,2,1
fr-FR,3077,0,0,2,0
fr-FR,3084,0,0,1,0
fr-FR,3107,0,0,2,1
fr-FR,3114,0,0,1,0
fr-FR,3115,0,0,1,0
fr-FR,3130,0,0,1,0
fr-FR,3139,0,0,3,2
fr-FR,3153,0,0,4,5
fr-FR,3182,0,0,2,1
fr-FR,3235,0,0,1,0
fr-FR,3236,0,0,1,0
fr-FR,3239,0,0,1,2
fr-FR,3245,0,0,2,1
fr-FR,3249,0,0,1,0
fr-FR,3296,0,0,1,0
fr-FR,3305,0,0,1,0
fr-FR,3335,0,0,1,0
fr-FR,3346,0,0,2,1
fr-FR,3366,0,0,3,2
fr-FR,3367,0,0,6,5
fr-FR,3378,0,0,2,1
fr-FR,3388,0,0,2,3
fr-FR,3418,0,0,1,0
fr-FR,3423,0,0,1,0
fr-FR,3435,0,0,3,2
fr-FR,3436,0,0,2,3
fr-FR,3438,0,0,1,0
fr-FR,3441,0,0,2,1
fr-FR,3447,0,0,7,6
fr-FR,3454,0,0,2,1
fr-FR,3464,0,0,2,1
fr-FR,3467,0,0,2,1
fr-FR,3477,0,0,1,0
fr-FR,3487,0,0,1,0
fr-FR,3494,0,0,1,0
fr-FR,3508,0,0,1,0
fr-FR,3560,0,0,2,1
it-IT,10,1,0,0,0
it-IT,112,1,0,0,0
it-IT,271,2,0,0,0
it-IT,572,1,0,0,0
it-IT,669,6,7,0,0
it-IT,683,0,1,0,0
it-IT,913,1,0,0,0
it-IT,1009,1,0,0,0
it-IT,1011,0,1,0,0
it-IT,1019,0,1,0,0
it-IT,1023,8,6,0,0
it-IT,1062,3,2,0,0
it-IT,1104,0,1,0,0
it-IT,1110,0,1,0,0
it-IT,1125,2,1,0,0
it-IT,1137,1,0,0,0
it-IT,1141,2,1,0,0
it-IT,1199,4,2,0,0
it-IT,1206,1,0,0,0
it-IT,1283,1,0,0,0
it-IT,1293,3,1,0,0
it-IT,1368,1,0,0,0
it-IT,1373,1,2,0,0
it-IT,1507,0,1,0,0
it-IT,1516,4,5,0,0
it-IT,1556,3,2,0,0
it-IT,1577,3,2,0,0
it-IT,1629,1,0,0,0
it-IT,1637,1,0,0,0
it-IT,1672,0,1,0,0
it-IT,1690,2,1,0,0
it-IT,1701,2,1,0,0
it-IT,1717,3,1,0,0
it-IT,1764,2,1,0,0
it-IT,1780,1,0,0,0
it-IT,1829,1,2,0,0
it-IT,1840,8,7,0,0
it-IT,1843,4,3,0,0
it-IT,1857,3,2,0,0
it-IT,1947,3,2,0,0
it-IT,1985,4,3,0,0
it-IT,2045,3,2,0,0
it-IT,2092,1,0,0,0
it-IT,2142,1,0,0,0
it-IT,2286,1,0,0,0
it-IT,2404,1,0,0,0
it-IT,2475,1,0,0,0
it-IT,2558,2,1,0,0
it-IT,2707,6,5,0,0
it-IT,2770,2,1,0,0
it-IT,2782,0,1,0,0
it-IT,2783,2,1,0,0
it-IT,2832,2,3,0,0
it-IT,2845,2,1,0,0
it-IT,2850,1,0,0,0
it-IT,2964,2,1,0,0
it-IT,2973,8,6,0,0
it-IT,3103,4,3,0,0
it-IT,3109,0,1,0,0
it-IT,3114,1,0,0,0
it-IT,3139,3,2,0,0
it-IT,3235,1,2,0,0
it-IT,3236,1,2,0,0
it-IT,3366,3,2,0,0
it-IT,3367,6,5,0,0
it-IT,3418,1,0,0,0
it-IT,3436,2,4,0,0
it-IT,3438,1,0,0,0
it-IT,3454,2,1,0,0
it-IT,3464,2,1,0,0
it-IT,3467,2,1,0,0
it-IT,3477,1,0,0,0
it-IT,3478,3,1,0,0
it-IT,3487,1,0,0,0
it-IT,3494,1,0,0,0
it-IT,3554,1,2,0,0
